"subject" "activity" "timeBodyAccmeanX" "timeBodyAccmeanY" "timeBodyAccmeanZ" "timeBodyAccstdX" "timeBodyAccstdY" "timeBodyAccstdZ" "timeGravityAccmeanX" "timeGravityAccmeanY" "timeGravityAccmeanZ" "timeGravityAccstdX" "timeGravityAccstdY" "timeGravityAccstdZ" "timeBodyAccJerkmeanX" "timeBodyAccJerkmeanY" "timeBodyAccJerkmeanZ" "timeBodyAccJerkstdX" "timeBodyAccJerkstdY" "timeBodyAccJerkstdZ" "timeBodyGyromeanX" "timeBodyGyromeanY" "timeBodyGyromeanZ" "timeBodyGyrostdX" "timeBodyGyrostdY" "timeBodyGyrostdZ" "timeBodyGyroJerkmeanX" "timeBodyGyroJerkmeanY" "timeBodyGyroJerkmeanZ" "timeBodyGyroJerkstdX" "timeBodyGyroJerkstdY" "timeBodyGyroJerkstdZ" "timeBodyAccMagmean" "timeBodyAccMagstd" "timeGravityAccMagmean" "timeGravityAccMagstd" "timeBodyAccJerkMagmean" "timeBodyAccJerkMagstd" "timeBodyGyroMagmean" "timeBodyGyroMagstd" "timeBodyGyroJerkMagmean" "timeBodyGyroJerkMagstd" "frequencyBodyAccmeanX" "frequencyBodyAccmeanY" "frequencyBodyAccmeanZ" "frequencyBodyAccstdX" "frequencyBodyAccstdY" "frequencyBodyAccstdZ" "frequencyBodyAccJerkmeanX" "frequencyBodyAccJerkmeanY" "frequencyBodyAccJerkmeanZ" "frequencyBodyAccJerkstdX" "frequencyBodyAccJerkstdY" "frequencyBodyAccJerkstdZ" "frequencyBodyGyromeanX" "frequencyBodyGyromeanY" "frequencyBodyGyromeanZ" "frequencyBodyGyrostdX" "frequencyBodyGyrostdY" "frequencyBodyGyrostdZ" "frequencyBodyAccMagmean" "frequencyBodyAccMagstd" "frequencyBodyBodyAccJerkMagmean" "frequencyBodyBodyAccJerkMagstd" "frequencyBodyBodyGyroMagmean" "frequencyBodyBodyGyroMagstd" "frequencyBodyBodyGyroJerkMagmean" "frequencyBodyBodyGyroJerkMagstd"
1 "STANDING" -0.58065733089049 -0.69259727142219 -0.475404785802305 -0.134577102586455 0.14389614101585 -0.117131960956974 -0.206139497907205 -0.514354856078674 -0.115966843406052 -0.801041510461095 -0.883406175677234 -0.970142079740634 -0.669529376397694 -0.794034650662824 -0.519429387218156 -0.101002286654179 -0.76201543014121 -0.781556195391931 -0.466251676533372 -0.737861932680115 -0.454185006429395 -0.762341709423631 -0.860692590403458 -0.832411103916426 -0.98374139092219 -0.865865436772334 -0.718018186534582 -0.806098881729107 -0.767394890311239 -0.788228143492795 -0.818999470201729 -0.746118757438905 -0.964923538645533 -0.913269432824207 -0.407213740707781 -0.716724742192507 -0.9137311529683 -0.623219182311527 -0.720109873184438 -0.931078196311239 0.072339870389049 -0.9598594359366 -0.951150627458213 -0.0367570221189337 0.527750462829971 -0.705210404625072 0.559417589150432 0.69367453389049 -0.538169912672046 0.226547344503746 0.129597891243804 0.0278207283182421 0.0271146641678674 0.246227438940634 -0.167193038574928 0.0107480955951009 -0.0445568387524496 0.0854444841365706 0.0497364928167147 -0.0880722729400576 -0.621062787005187 0.459998913805764 -0.0423163119754755 -0.0971120197265994 -0.0617493807841499 0.225159308175187
3 "STANDING" -0.708087812187683 -0.772826203607038 -0.643150121648094 -0.000264255063504399 0.0680683162800587 -0.0535119465671848 -0.197470789787478 -0.508328445858064 -0.247693203183871 -0.91589098483871 -0.874649725656891 -0.9485837828739 -0.75660210361261 -0.891902881826979 -0.623255114860997 -0.169477835140762 -0.761233561982405 -0.791397849266862 -0.559851186088408 -0.81080601659824 -0.583879131818798 -0.829244846891496 -0.889657888387097 -0.857666784043988 -0.987422098973607 -0.895697707536657 -0.842252813167156 -0.828958672530792 -0.898816928607038 -0.746149961095601 -0.855077423964809 -0.886036488035191 -0.950523918357771 -0.984872038826979 -0.557156149923754 -0.836914879214076 -0.960800284721408 -0.642097719778592 -0.792184972220821 -0.931644729472141 0.0480937904190616 -0.966457565630499 -0.9445645371261 0.021561393374956 0.470926521057185 -0.625185177360704 0.62398123538132 0.776199417653959 -0.646245684749355 0.216531028075367 0.0700699937568915 0.0752599680360704 -0.0289132302111437 0.014017028808563 0.0258443926935836 -0.107822249787708 0.0538960355278592 0.0566239901573607 0.117889953875191 -0.0743565308442815 -0.616187372755425 0.599414202577713 -0.0251657717227566 -0.0991554609633431 -0.0816490324851026 0.0430032129928534
5 "STANDING" -0.688205235936424 -0.743857712970199 -0.602770284825828 -0.141134880855546 0.133752004337119 -0.0977463073887417 -0.243947205606623 -0.550487853230364 -0.205542945078808 -0.899529659966887 -0.859238050874172 -0.948427938874172 -0.676435208519868 -0.890286157218543 -0.586286198957947 -0.150359954012583 -0.73723563184106 -0.679028697155629 -0.491500434303907 -0.798835563807947 -0.522800347064238 -0.819365632582782 -0.867540634282781 -0.847715238475497 -0.984032370761589 -0.821555673824503 -0.848939947715232 -0.776536528278146 -0.765985320460265 -0.823051832311258 -0.746622108781457 -0.713415917907285 -0.948495195827815 -0.964887448907285 -0.335102913231788 -0.834927919470199 -0.95978298986755 -0.632239300829801 -0.729451412982781 -0.926905274834437 0.0921607197449904 -0.964629108807947 -0.939973777950331 -0.499615238692053 0.533345902450331 -0.638779938609272 0.602436232857616 0.770622727582781 -0.591358924347682 0.191572662873742 0.107270609267219 0.0610364548902649 0.0385932372128808 0.0519118728857616 0.0778619220718576 -0.102184756595033 0.0503938996625828 0.053124321057149 0.102539978785762 -0.0774316445596026 -0.636735925903974 0.495157373171523 -0.0368889391448973 -0.103522877147351 -0.0821406146549007 0.0626423827377483
6 "STANDING" -0.608079672582154 -0.699421025467692 -0.549494852037046 -0.151958186052062 0.134516454338462 -0.110977092557034 -0.376126692672615 -0.67020305164 -0.382270809258154 -0.759751330833231 -0.801419506664615 -0.890549378830769 -0.622914711695385 -0.898456558246154 -0.525362836771662 -0.112861368833846 -0.6970719588 -0.669128204963077 -0.437837459287385 -0.755751144098462 -0.468662866097846 -0.775259062790769 -0.846211097272308 -0.807055884584615 -0.975052941046154 -0.802215387932308 -0.784460812706462 -0.775225959532923 -0.722435703245231 -0.717661638296 -0.737241670777846 -0.679819183461077 -0.879086077129231 -0.921810900030769 -0.532600409584615 -0.784915272424 -0.929249878384615 -0.537201442069846 -0.654091713815508 -0.874680399584615 0.0475199990906462 -0.958898709015385 -0.9509348864 -0.336792015408615 0.510531183323077 -0.597126175753846 0.552497227966769 0.714442071519385 -0.550680374889538 0.226026785703692 0.0820612318209231 0.147930538036831 0.127199173128769 -0.118126078708985 -0.0458112449553846 -0.0530710597236308 0.0330490772204615 0.00910325812092308 0.274304682403077 -0.0706129097498462 -0.580098038556308 0.498927712991385 0.0242650935590462 -0.0829159966093231 -0.0906246279975385 0.0740934437987692
7 "STANDING" -0.624184024006494 -0.743166703597403 -0.581899897967532 -0.133872426348377 0.0972408273607143 0.0139212446199675 -0.078714995595 -0.405854102975974 -0.226163946629545 -0.905225294967532 -0.927468857792208 -0.935107314837662 -0.811105708538961 -0.729001481597078 -0.635242654404221 -0.0592296095840909 -0.773146206931818 -0.824891773811688 -0.62853163071948 -0.684856438953896 -0.570839180123247 -0.707052515573377 -0.875077305558442 -0.86016841887987 -0.98082250237013 -0.85728408711039 -0.857470751042208 -0.877421150756494 -0.882008206753247 -0.851072331405844 -0.821540775571429 -0.867827004707792 -0.937439633019481 -0.921566653181818 -0.415472584264545 -0.849989948529221 -0.885563640032467 -0.643767578493507 -0.835601042262987 -0.805592332457792 0.0342160711928604 -0.956538178587662 -0.955312554090909 -0.211339534241234 0.493419396363636 -0.901388614698052 0.698593753917532 0.643757274123052 -0.617410130164967 0.134174549924675 0.0171226466016234 0.090675725297987 -0.0384360942844156 -0.0109860908261364 0.177897102237175 -0.165042491944253 0.0931850174024026 0.0155946595167532 0.113878768841851 -0.0646077113078896 -0.626580760162338 0.590072090012987 -0.0854120254009416 -0.0942037376182662 -0.0688368169994156 -0.0282000905396104
8 "STANDING" -0.618554287955872 -0.634895616212811 -0.476214943826192 -0.0601828147890925 0.0521095579017794 0.00539242527580071 -0.128345077490712 -0.4468126996121 -0.158631289881139 -0.821201039617794 -0.897350352064057 -0.96455707544484 -0.569050253320285 -0.73822606452669 -0.570217190203559 -0.147084430869395 -0.772471585932384 -0.76156583611032 -0.45636839585694 -0.691480916950178 -0.519504841340925 -0.72109965574911 -0.870851288078292 -0.802869038501423 -0.981203323701068 -0.862196009074733 -0.730121651108541 -0.785057182384342 -0.705016531865801 -0.726762400419929 -0.816951306085409 -0.669214675530961 -0.957452102775801 -0.931330303238434 -0.470124576131673 -0.742586362698576 -0.880814591067616 -0.601382421248399 -0.648293059945374 -0.841534762946619 0.0836542406807936 -0.954256666035587 -0.94844645047331 -0.0796161025860498 0.406199178790036 -0.765105529466192 0.606429757427758 0.663223016852669 -0.527117450370071 0.163977627171174 0.10153988698884 0.0531343575460498 -0.0384016153836299 0.00737841273177936 -0.0386130727882562 0.0121217583969751 -0.0317550063707794 0.0972804665615658 0.118056537555872 -0.091077509832669 -0.56452142703274 0.476877615649142 -0.0470069266291815 -0.104969855200356 -0.150662178633075 0.253222106265267
11 "STANDING" -0.958350085 -0.918364755 -0.935153045 -0.349968795 0.17472516 0.033481775 -0.032752065 -0.326905983 -0.474222745 -0.99941395 -0.999742205 -0.99957124 -0.99688831 -0.99913236 -0.97450395 -0.72485753 -0.48387097 -0.9 -0.96597682 -0.985830605 -0.9618236 -0.98632327 -0.995153065 -0.987746335 -0.99998075 -0.9992303 -0.998579865 -0.998863465 -0.999338845 -0.999648785 -0.999650025 -0.998899575 -0.998795375 -0.999973005 -0.8600813 -0.99918795 -0.99874513 -0.952866965 -0.999221585 -0.99950493 0.22207886 -0.983119445 -0.980201085 -0.054541181 0.83169235 -0.954056775 0.948359335 0.966697315 -0.97737769 0.0839921775 0.256176405 0.301585 0.4787188245 -0.2947188885 -0.364974585 0.265490513 -0.2554920375 0.125411441 0.055255175 -0.131501155 -0.87147309 0.79019917 0.64342885 -0.0838631045 -0.92938904 0.34408396
11 "SITTING" -0.738209448121019 -0.751161071952229 -0.626413805245223 0.0389417745398089 0.0443583873573248 -0.0100493811646815 -0.204813477274522 -0.522976639005414 -0.118537514286306 -0.934639245573249 -0.946913656942675 -0.985245391847134 -0.754569925990446 -0.886227003343949 -0.668013889104777 -0.284708944333153 -0.757756316754777 -0.761358810691083 -0.607174094924522 -0.857447076624204 -0.615169495206561 -0.870380466751592 -0.879720724576433 -0.862192095031847 -0.985968986210191 -0.883981197070064 -0.896967076369427 -0.81715153093949 -0.877354690732484 -0.862187586050955 -0.817772677328025 -0.848611950859873 -0.982579029808917 -0.991572034840764 -0.377312146867197 -0.889571404171974 -0.971892417261147 -0.708402086047771 -0.827103218566879 -0.969569472579618 0.139688402656051 -0.975345253949045 -0.956991877006369 -0.129891561811401 0.484977446464968 -0.58308384544586 0.676761025152866 0.818559103980892 -0.679521247347134 0.136033324208917 0.0668404585737261 0.126451160921592 -0.0142569581555732 0.106486651846561 -0.0555130153750955 -0.0545795020340127 0.0138877683757962 0.0558855794353503 0.114005140988248 -0.057760866393949 -0.664462714884713 0.598011291751592 0.0290798748904459 -0.080526211410828 -0.223974402556688 0.0947575551410191
14 "SITTING" -0.520180425120743 -0.640484962840062 -0.416459776709257 0.0565347190447678 0.100577205992879 -0.0669493231018576 -0.129304275939628 -0.468600065801858 -0.0959247676176471 -0.945974113188854 -0.967574821331269 -0.981552178575851 -0.630567769106192 -0.518007252187926 -0.66665828664644 -0.0309057695541796 -0.794067710733746 -0.869143445470588 -0.60215894382322 -0.694424996467802 -0.600606911353622 -0.729812864578947 -0.884534055882353 -0.848188067285666 -0.98779506879257 -0.859638520464396 -0.909255042393189 -0.77415860220743 -0.841373100455108 -0.89418722631579 -0.847942508885449 -0.808487482498452 -0.97613319749226 -0.960146167182663 -0.423471380898142 -0.915108201897833 -0.873936713142415 -0.699166400749226 -0.81009631745418 -0.786022956698452 -0.161179728291022 -0.941245714736842 -0.942377305312693 0.330634172593808 0.332365096767802 -0.835308843962848 0.67233661155356 0.648661598256966 -0.5962958681613 0.057358086909195 -0.039512430526935 0.235012560175851 0.185101711009288 0.104687025208359 0.159278835044706 -0.185484499314458 0.0883599612686997 0.0717419815318885 0.19736918804582 -0.0954921154823529 -0.642392435801858 0.349418077100929 0.0858666653960991 -0.107556127062003 -0.0212492027377709 0.185899406961858
15 "SITTING" -0.718237908323171 -0.740510097194817 -0.617721779796037 0.00217799751542683 0.120304321631494 -0.0542745147657591 -0.175199887695396 -0.510678643560976 -0.115882681777134 -0.861991298719512 -0.947757718170732 -0.973493451707317 -0.720028204019207 -0.909260578841463 -0.649978043471951 -0.270264213371951 -0.730920533792683 -0.798577234807927 -0.605854882622652 -0.845111060762195 -0.582330972143293 -0.860635500987805 -0.870190928164634 -0.856267539268902 -0.984915539054878 -0.822178687580793 -0.890009682103659 -0.821241737768293 -0.838282517134146 -0.865767347957317 -0.759616891782622 -0.789229396334451 -0.968329537652439 -0.988803907103659 -0.522679370838415 -0.884616388170732 -0.948721166966463 -0.664354428856403 -0.803607248146341 -0.950516350670732 0.0372897701757012 -0.968733398628049 -0.956369493993902 -0.176426861919817 0.437718386859756 -0.563411485609756 0.693325130112195 0.804085777490854 -0.659094619222561 0.139687815535549 0.0445129482425305 0.200712528032317 0.133077939807622 -0.0612293723181402 -0.056824936110061 -0.0895921004802744 0.0255347052070427 0.0955136437639329 0.184587051247256 -0.075878845519878 -0.639208833152439 0.611406487628049 0.0229814653250915 -0.0960910108539634 -0.164916707583232 0.215225664126829
